Epoch 133: traj avg_rew -183.56958645323374, avg_traj_len 307.6923076923077
Epoch 134: traj avg_rew -145.89593420881033, avg_traj_len 210.52631578947367
Epoch 135: traj avg_rew -126.45965660258082, avg_traj_len 250.0
Epoch 136: traj avg_rew -176.44731626284414, avg_traj_len 266.6666666666667
Epoch 137: traj avg_rew -126.81280525887514, avg_traj_len 181.8181818181818
Epoch 138: traj avg_rew -130.54468061046603, avg_traj_len 210.52631578947367
Epoch 139: traj avg_rew -142.64862577606067, avg_traj_len 250.0
Epoch 140: traj avg_rew -141.49616987707972, avg_traj_len 222.22222222222223
Epoch 141: traj avg_rew -156.65227069860413, avg_traj_len 285.7142857142857
Epoch 142: traj avg_rew -155.38418301511186, avg_traj_len 266.6666666666667
Epoch 143: traj avg_rew -151.08862037388906, avg_traj_len 210.52631578947367
Epoch 144: traj avg_rew -152.30625080638015, avg_traj_len 222.22222222222223
Epoch 145: traj avg_rew -131.87731056712664, avg_traj_len 222.22222222222223
Epoch 146: traj avg_rew -139.3623516718666, avg_traj_len 200.0
Epoch 147: traj avg_rew -166.56541539659594, avg_traj_len 250.0
Epoch 148: traj avg_rew -144.29741581432594, avg_traj_len 235.2941176470588
Epoch 149: traj avg_rew -145.51312497360772, avg_traj_len 235.2941176470588
Epoch 150: traj avg_rew -155.7570646908784, avg_traj_len 200.0
Epoch 151: traj avg_rew -130.6373172129481, avg_traj_len 222.22222222222223
Epoch 152: traj avg_rew -153.14663159801836, avg_traj_len 266.6666666666667
Epoch 153: traj avg_rew -177.0281856861255, avg_traj_len 235.2941176470588
Epoch 154: traj avg_rew -137.93682147126452, avg_traj_len 210.52631578947367
Epoch 155: traj avg_rew -135.08241535405114, avg_traj_len 181.8181818181818
Epoch 156: traj avg_rew -149.47373978128084, avg_traj_len 235.2941176470588
Epoch 157: traj avg_rew -146.86370347267066, avg_traj_len 200.0
Epoch 158: traj avg_rew -166.99418752202473, avg_traj_len 222.22222222222223
Epoch 159: traj avg_rew -156.55187854345792, avg_traj_len 222.22222222222223
Epoch 160: traj avg_rew -169.25916567549058, avg_traj_len 235.2941176470588
Epoch 161: traj avg_rew -163.23464539115076, avg_traj_len 222.22222222222223
Epoch 162: traj avg_rew -169.31447083190963, avg_traj_len 210.52631578947367
Epoch 163: traj avg_rew -156.72105246705453, avg_traj_len 222.22222222222223
Epoch 164: traj avg_rew -169.67045864988805, avg_traj_len 266.6666666666667
Epoch 165: traj avg_rew -162.02159623860922, avg_traj_len 210.52631578947367
Epoch 166: traj avg_rew -158.0807577758527, avg_traj_len 235.2941176470588
Epoch 167: traj avg_rew -173.00229311375367, avg_traj_len 235.2941176470588
Epoch 168: traj avg_rew -137.92996874823638, avg_traj_len 190.47619047619048
Epoch 169: traj avg_rew -129.48548128550766, avg_traj_len 210.52631578947367
Epoch 170: traj avg_rew -152.6542585451379, avg_traj_len 250.0
Epoch 171: traj avg_rew -158.6613281810252, avg_traj_len 210.52631578947367
Epoch 172: traj avg_rew -146.90287843417389, avg_traj_len 222.22222222222223
Epoch 173: traj avg_rew -145.6947088167214, avg_traj_len 222.22222222222223
Epoch 174: traj avg_rew -172.1882306173271, avg_traj_len 250.0
Epoch 175: traj avg_rew -183.5186111088363, avg_traj_len 285.7142857142857
Epoch 176: traj avg_rew -194.35055390569852, avg_traj_len 285.7142857142857
Epoch 177: traj avg_rew -148.4887469831821, avg_traj_len 235.2941176470588
Epoch 178: traj avg_rew -149.48363331193772, avg_traj_len 285.7142857142857
Epoch 179: traj avg_rew -202.16288689011904, avg_traj_len 285.7142857142857
Epoch 180: traj avg_rew -162.41202036338348, avg_traj_len 250.0
Epoch 181: traj avg_rew -170.64360370105376, avg_traj_len 222.22222222222223
Epoch 182: traj avg_rew -164.35774326683529, avg_traj_len 285.7142857142857
Epoch 183: traj avg_rew -144.2310292338409, avg_traj_len 250.0
Epoch 184: traj avg_rew -135.94063714367064, avg_traj_len 181.8181818181818
Epoch 185: traj avg_rew -133.46599397995917, avg_traj_len 235.2941176470588
Epoch 186: traj avg_rew -138.43328741808256, avg_traj_len 210.52631578947367
Epoch 187: traj avg_rew -153.05911644472823, avg_traj_len 210.52631578947367
Epoch 188: traj avg_rew -144.37751710533888, avg_traj_len 235.2941176470588
Epoch 189: traj avg_rew -160.87578528686737, avg_traj_len 250.0
Epoch 190: traj avg_rew -147.04375961321867, avg_traj_len 250.0
Epoch 191: traj avg_rew -137.8220411827323, avg_traj_len 266.6666666666667
